Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Data Governance Definitions,,Article (3rd Party Provider),2025-05-19 08:35 UTC,2025-05-19 08:35 UTC,false,N/A,
Career Essentials in Generative AI by Microsoft and LinkedIn,"Generative AI is reshaping industries by transforming how work gets done. This learning path puts you at the forefront of this creative revolution, covering content creation, key models, future trends, ethical considerations, and tools like Microsoft Copilot. Gain essential skills to harness generative AI in your career. Start today so you can lead in this transformative era.",Learning Path,N/A,N/A,true,N/A,
Mastering Data Governance and Ethics,Data governance and stewardship are vital skills in an increasingly data-dominated world. Anyone involved in the digital transformation of businesses and institutions needs a solid grounding in managing data and information. Get started learning these necessary skills now!,Learning Path,2025-05-23 12:18 UTC,2025-05-23 12:14 UTC,false,N/A,
Implementing a Data Warehouse with SQL Server 2022,"Data warehouses solve fundamentally different problems than a traditional transactional database, and SQL Server Data Warehouses provide a different model for storing valuable data. In this course, database expert Adam Wilbert guides you through the process of developing data warehouses in SQL Server 2022 to provide a robust, trustworthy platform to serve all your business intelligence reporting and analysis workloads. Explore data warehouse foundations, then get started creating a data warehouse in SQL Server. Learn about columnstore indexes, as well as how to automate the tasks associated with integrating multiple data sources together into a warehouse. Find out how to implement an Azure Synapse Analytics Dedicated SQL Pool and enforce data quality using Data Quality Services. Discover ways to use Master Data Services, plus learn how to consume data from your warehouse with business intelligence applications.",Course,2023-03-11 07:19 UTC,N/A,false,N/A,
Learning GitHub Pages,"If you’re looking for an open-core, user-friendly way to publish an app or website, GitHub has a lot to offer. Now, with GitHub Pages, you can get your own site up and running in no time, and you can do it all for free. In this course, instructor Ray Villalobos teaches you how to use the standard features of GitHub to build, modify, and publish content on a simple, static website.<br><br>Discover the skills you need to know to make use of GitHub and take advantage of its free features. Start with the basics and get to know the GUI, exploring what it has to offer. Ray covers wikis, repos, and content editing with markdown and GitHub.dey, as well as how to host HTML and static websites with Jekyll and Eleventy. Find out why people are excited about the power of GitHub by joining Ray and learning how to publish your own unique app.",Course,2025-05-19 11:30 UTC,N/A,true,N/A,
Excel: Advanced Formulas and Functions (2022),"Follow along with Excel expert Dennis Taylor as he demystifies the hundreds of formulas and functions available in Excel. Dennis starts with a few critical formula shortcuts that will speed up your work, then covers a variety of functions, such as VLOOKUP, MATCH, and INDEX, statistical functions, text functions, and date and time, math, text, and information functions. Dennis provides practical examples to help viewers easily transition to using Excel's most powerful formulas and functions in real-world scenarios. Note that this course is recorded in Excel for Office 365 but anyone using a recent version—including 2019, 2016, and 2013—will be able to follow along.",Course,2022-05-04 14:06 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2021-05-16 19:03 UTC,N/A,false,N/A,
Learning SAP MM (Materials Management) (2019),"To consistently deliver completed products on time, an organization needs an effective system for managing products, inventory, and purchased materials. SAP Material Management (MM), a key module in the SAP ERP suite, tracks all aspects of material management—from purchase through sale—for enterprise organizations. In this course, learn how to get up and running with SAP Material Management (MM). To begin, instructor Justin Valley provides a high-level look at the materials management process in SAP MM, as well as how it integrates with other SAP modules. Next, Justin shows how to create material master records and approach the purchasing, inventory management, and physical inventory processes (and run related reports).",Course,2022-03-25 07:59 UTC,N/A,false,N/A,
SAP ABAP Programming Best Practices,"If you’re an ABAP programmer considering the transition from classic ABAP programming to an object-oriented style programming style, this course shows you the advantages of using ABAP Objects, the object-oriented programming feature of ABAP. This course discusses reasons for implementing programming standards and the use of standardized frameworks for writing code, before getting into detailed examples of code reuse with ABAP Objects. Other topics include powerful techniques to handle and report error conditions in your ABAP programs, and how to incorporate automated test routines into development and maintenance cycles.
By the end of this course, you’ll be on your way to a better understanding of the different ways that objects can be reused for different business problems, and have knowledge to help you produce efficient and easily maintainable code in a short amount of time.
<br><br>
Note: This course was created by Michael Management. We are pleased to host this training in our library",Course,2022-10-03 06:41 UTC,N/A,false,N/A,
SAP Transportation Management Overview,"Learn the basics of transportation management (TM) from a business perspective—while you explore the SAP Transportation Management module and its processes. This course provides a solid foundation of the TM architecture, the usable master data in SAP, and related processes, from order capture to freight settlement. Learn about carrier selection and tendering, freight order execution, track and trace activities, and producing analytics to make better decisions around transportation and supply chain management. The course also provides demos of key elements of TM in the NetWeaver Business Client. Along the way, you can learn tips and tricks as well as best practices in shipper industries, which combine best-in-class, proven transportation management capabilities with the benefits of the S/4HANA system.<br><br>This course was created by Michael Management. We are pleased to offer this training in our library.",Course,2021-10-07 11:07 UTC,N/A,false,N/A,
