output_path,url,title,title_length,meta_description,description_length,canonical,robots,h1_count,h2_count,word_count,internal_links,external_links,broken_local_links,image_count,images_missing_alt,jsonld_types,og_title,og_description,og_image,twitter_card,sitemap_included,llms_included,source_status,source_verified,classification
.well-known/agent-skills/dataset-discovery/index.html,https://dkharlanau.github.io/.well-known/agent-skills/dataset-discovery/,Dataset Discovery,17,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",147,https://dkharlanau.github.io/.well-known/agent-skills/dataset-discovery/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",2,0,318,11,0,0,0,0,"WebSite, WebPage",Dataset Discovery,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,yes,no,,,"unverified_but_indexable, duplicate_h1"
.well-known/agent-skills/resume-lookup/index.html,https://dkharlanau.github.io/.well-known/agent-skills/resume-lookup/,Resume Lookup,13,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",147,https://dkharlanau.github.io/.well-known/agent-skills/resume-lookup/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",2,0,306,11,0,0,0,0,"WebSite, WebPage",Resume Lookup,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,yes,no,,,"unverified_but_indexable, duplicate_h1"
.well-known/agent-skills/topic-routing/index.html,https://dkharlanau.github.io/.well-known/agent-skills/topic-routing/,Topic Routing,13,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",147,https://dkharlanau.github.io/.well-known/agent-skills/topic-routing/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",2,0,332,11,0,0,0,0,"WebSite, WebPage",Topic Routing,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,yes,no,,,"unverified_but_indexable, duplicate_h1"
404.html,https://dkharlanau.github.io/404.html,Page Not Found — Dzmitryi Kharlanau,35,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",147,https://dkharlanau.github.io/404.html,"noindex,follow",1,0,111,14,0,0,0,0,,Page Not Found — Dzmitryi Kharlanau,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,no,no,,,schema_missing_recommended
AGENTS/index.html,https://dkharlanau.github.io/AGENTS/,AGENTS.md,9,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",147,https://dkharlanau.github.io/AGENTS/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",2,17,1639,12,0,1,0,0,"WebSite, WebPage",AGENTS.md,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,yes,no,,,"unverified_but_indexable, duplicate_h1, broken_local_links"
ARCHITECTURE/index.html,https://dkharlanau.github.io/ARCHITECTURE/,CV AI Architecture,18,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",147,https://dkharlanau.github.io/ARCHITECTURE/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",2,7,762,11,0,0,0,0,"WebSite, WebPage",CV AI Architecture,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,yes,no,,,"unverified_but_indexable, duplicate_h1"
DESIGN-SYSTEM/index.html,https://dkharlanau.github.io/DESIGN-SYSTEM/,CV AI Design System,19,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",147,https://dkharlanau.github.io/DESIGN-SYSTEM/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",2,12,1586,11,0,0,0,0,"WebSite, WebPage",CV AI Design System,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,yes,no,,,"unverified_but_indexable, duplicate_h1"
PROJECT_MAP/index.html,https://dkharlanau.github.io/PROJECT_MAP/,PROJECT_MAP.md,14,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",147,https://dkharlanau.github.io/PROJECT_MAP/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",2,10,1000,11,0,0,0,0,"WebSite, WebPage",PROJECT_MAP.md,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,yes,no,,,"unverified_but_indexable, duplicate_h1"
about/index.html,https://dkharlanau.github.io/about/,About Dzmitryi Kharlanau — Verified Public Profile,50,"Canonical public profile for Dzmitryi Kharlanau, focused on verified work history, publications, credentials, and machine-readable profile sources.",147,https://dkharlanau.github.io/about/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",1,8,1422,18,35,7,0,0,"WebSite, ProfilePage, Person, Organization, BreadcrumbList",About Dzmitryi Kharlanau — Verified Public Profile,"Canonical public profile for Dzmitryi Kharlanau, focused on verified work history, publications, credentials, and machine-readable profile sources.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,yes,no,,,"unverified_but_indexable, broken_local_links"
agent-skills/index.html,https://dkharlanau.github.io/agent-skills/,Agent Skills,12,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",147,https://dkharlanau.github.io/agent-skills/,"index,follow,max-snippet:-1,max-image-preview:large,max-video-preview:-1",2,12,1076,12,0,1,0,0,"WebSite, WebPage",Agent Skills,"SAP AMS support, AI-assisted support automation, incident analysis, SD/MM issues, master data problems, and process optimization for SAP AMS teams.",https://dkharlanau.github.io/assets/og/default.png,summary_large_image,yes,no,,,"unverified_but_indexable, duplicate_h1, broken_local_links"
